alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
60788|172.25.124.244|4043494|0|9470515|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:11:00|23|8|3|2015|34|2015|1|11|0|4261|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Adhoc Rogue|Adhoc Rogue64:27:37:7f:b3:ad|Unknown|Adhoc Rogue '64:27:37:7f:b3:ad' is no longer detected on the network. |RogueAp!64:27:37:7f:b3:ad|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!64:27:37:7f:b3:ad|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37037|1
60707|172.25.124.244|4043455|0|9470515|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:15:30|23|8|3|2015|34|2015|1|15|30|4531|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Adhoc Rogue|Adhoc Rogue44:6d:57:5c:3e:76|Unknown|Adhoc Rogue '44:6d:57:5c:3e:76' is no longer detected on the network. |RogueAp!44:6d:57:5c:3e:76|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!44:6d:57:5c:3e:76|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36767|1
60758|172.25.124.244|4043471|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:24:21|23|8|3|2015|34|2015|1|24|21|5062|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cd|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cd' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cd|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cd|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36236|1
60757|172.25.124.244|4043297|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:06:21|23|8|3|2015|34|2015|1|6|21|3982|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cc|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cc' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cc|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cc|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37316|1
60756|172.25.124.244|4043295|0|9470515|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:18:01|23|8|3|2015|34|2015|1|18|1|4682|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:ce|Unknown|Rogue AP 'c8:f9:f9:5a:f6:ce' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:ce|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:ce|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36616|1
60747|172.25.124.244|4043582|0|9470515|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:12:00|23|8|3|2015|34|2015|1|12|0|4321|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:29:d3:d0|Unknown|Rogue AP 'c8:f9:f9:29:d3:d0' is no longer detected on the network. |RogueAp!c8:f9:f9:29:d3:d0|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:29:d3:d0|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36977|1
60746|172.25.124.244|4043590|0|9470515|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:08:30|23|8|3|2015|34|2015|1|8|30|4111|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:29:d3:d3|Unknown|Rogue AP 'c8:f9:f9:29:d3:d3' is no longer detected on the network. |RogueAp!c8:f9:f9:29:d3:d3|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:29:d3:d3|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|37187|1
60785|172.25.124.244|4043562|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:23:21|23|8|3|2015|34|2015|1|23|21|5002|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7f|Unknown|Rogue AP '88:f0:31:47:b3:7f' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7f|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7f|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36296|1
60771|172.25.124.244|4043240|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:21:21|23|8|3|2015|34|2015|1|21|21|4882|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0a:c9:2d|Unknown|Rogue AP 'f4:ea:67:0a:c9:2d' is no longer detected on the network. |RogueAp!f4:ea:67:0a:c9:2d|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0a:c9:2d|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36416|1
60683|172.25.124.244|4043278|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 00:50:20|23|8|3|2015|34|2015|0|50|20|3021|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP 44:e4:d9:41:8c:83|Unknown|Rogue AP '44:e4:d9:41:8c:83' is no longer detected on the network. |RogueAp!44:e4:d9:41:8c:83|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!44:e4:d9:41:8c:83|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|38277|1
60682|172.25.124.244|4043275|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:22:20|23|8|3|2015|34|2015|1|22|20|4941|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP 44:e4:d9:41:8c:80|Unknown|Rogue AP '44:e4:d9:41:8c:80' is no longer detected on the network. |RogueAp!44:e4:d9:41:8c:80|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!44:e4:d9:41:8c:80|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36357|1
60644|172.25.124.244|4043531|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:19:20|23|8|3|2015|34|2015|1|19|20|4761|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:13:13:42|Unknown|Rogue AP 'f4:ea:67:13:13:42' is no longer detected on the network. |RogueAp!f4:ea:67:13:13:42|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:13:13:42|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36537|1
60663|172.25.124.244|4043357|0|9470513|5|Cleared|3|Minor|2015-08-23|2015-08-23 01:22:51|23|8|3|2015|34|2015|1|22|51|4972|2015-08-23|2015-08-23 11:28:17|23|8|3|2015|34|2015|11|28|17|41298|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:00:3f|Unknown|Rogue AP 'f4:ea:67:0b:00:3f' is no longer detected on the network. |RogueAp!f4:ea:67:0b:00:3f|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:00:3f|172.25.124.196|Nms|0|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|36326|1
