event_key|data_source_id|event_id|device_type1_key|authentityid|alarmforevents_id|severity_number|severity|notificationdate|notificationtimestamp|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|classname|category|displayname|description|source|eventtype|nttyaddrss7_address|generatedby|elementname|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|count
592632|172.25.124.244|1204418|14|0|207224|2|Major|2015-08-23|2015-08-23 00:00:42|23|8|3|2015|34|2015|0|0|42|43|WiredWirelessEvent|System|NCS-ConfigArchive|Config Archive Failed for the Device : 10.114.8.9|NCS-ConfigArchive(172.25.124.244)|SYSTEM_MONITOR|172.25.124.244|SYSTEM_MONITOR|Unknown|0|Unknown|Unknown|181195_172.23.222.223|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|Chassis 0-duplicate : prime-asr9k-cluster|1
592633|172.25.124.244|1204419|9|181191|4043042|1|Critical|2015-08-23|2015-08-23 00:00:48|23|8|3|2015|34|2015|0|0|48|49|ThresholdEvent|Routers|Cisco_10.114.2.2(10.114.2.2)|Device Cisco_10.114.2.2/CPU of Routing Processor 5: value of CPU Utilization = 433 violated the set threshold: 90 - Automonitoring - Device Health |10.114.2.2|TV_CPU_UTILIZATION|10.114.2.2|Wired Switch|CPU of Routing Processor 5|0|Unknown|Unknown|181191_10.114.2.2|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|1
592634|172.25.124.244|1204420|7|181188|4043598|1|Critical|2015-08-23|2015-08-23 00:00:48|23|8|3|2015|34|2015|0|0|48|49|ThresholdEvent|Switches and Hubs|Cisco_10.114.8.14(10.114.8.14)|Device Cisco_10.114.8.14 value of Environment Temperature = 510 violated the set threshold: 80 - Automonitoring - Device Health |10.114.8.14|TV_ENV_TEMP|10.114.8.14|Wired Switch|Unknown|0|Unknown|Unknown|181188_10.114.8.14|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|10.114.8.14|Cisco_10.114.8.14|1
592744|172.25.124.244|1204530|5|181186|207219|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.9|Port 'GigabitEthernet0/9' is up on device '10.114.8.9'.|10.114.8.9|LINK_UP|10.114.8.9|Wired Switch|GigabitEthernet0/9|187742|managementAddress=10.114.8.9:ifIndex=2|GigabitEthernet0/9|181186_10.114.8.9|Cisco ASR 901 10G Series Aggregation Services Routers|Cisco ASR901-6CZ-FT-A Router|Routers|15.3(3)S4|10.114.8.9|Cisco_10.114.8.9|1
592747|172.25.124.244|1204533|19|4771782|4043055|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.5|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_UP|10.114.8.5|Wired Switch|TenGigabitEthernet0/0/0|3751945|managementAddress=10.114.8.5:ifIndex=1|TenGigabitEthernet0/0/0|4771782_10.114.8.5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|1
592748|172.25.124.244|1204534|19|4771782|4043056|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.5|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_UP|10.114.8.5|Wired Switch|TenGigabitEthernet0/1/0|3751946|managementAddress=10.114.8.5:ifIndex=2|TenGigabitEthernet0/1/0|4771782_10.114.8.5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|1
592743|172.25.124.244|1204529|5|181186|207218|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.9|Port 'GigabitEthernet0/8' is up on device '10.114.8.9'.|10.114.8.9|LINK_UP|10.114.8.9|Wired Switch|GigabitEthernet0/8|187743|managementAddress=10.114.8.9:ifIndex=1|GigabitEthernet0/8|181186_10.114.8.9|Cisco ASR 901 10G Series Aggregation Services Routers|Cisco ASR901-6CZ-FT-A Router|Routers|15.3(3)S4|10.114.8.9|Cisco_10.114.8.9|1
592736|172.25.124.244|1204522|3|181183|207217|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.3|Port 'GigabitEthernet2/2' is up on device '10.114.8.3'.|10.114.8.3|LINK_UP|10.114.8.3|Wired Switch|GigabitEthernet2/2|187639|managementAddress=10.114.8.3:ifIndex=2|GigabitEthernet2/2|181183_10.114.8.3|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.8.3|Cisco_10.114.8.3|1
592735|172.25.124.244|1204521|3|181183|207216|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.3|Port 'GigabitEthernet2/1' is up on device '10.114.8.3'.|10.114.8.3|LINK_UP|10.114.8.3|Wired Switch|GigabitEthernet2/1|187638|managementAddress=10.114.8.3:ifIndex=1|GigabitEthernet2/1|181183_10.114.8.3|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.8.3|Cisco_10.114.8.3|1
592760|172.25.124.244|1204546|4|181185|207221|5|Cleared|2015-08-23|2015-08-23 00:01:35|23|8|3|2015|34|2015|0|1|35|96|WiredWirelessEvent|Routers|Cisco_10.114.8.6|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.6'.|10.114.8.6|LINK_UP|10.114.8.6|Wired Switch|TenGigabitEthernet0/1/0|187733|managementAddress=10.114.8.6:ifIndex=2|TenGigabitEthernet0/1/0|181185_10.114.8.6|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|1
