if_utilization_key|interface_type1_key|device_type1_key|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|ifindex|ifname|iffullname|ifdescr|ifspeed|iftype|macaddress|adminstatus|operstatus|date|time_key|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|num_samples|times_in_util_greater_than_50|times_in_util_greater_than_75|times_in_util_greater_than_90|times_out_util_greater_than_50|times_out_util_greater_than_75|times_out_util_greater_than_90|max_input_utilization|max_output_utilization|pctl95_input_utilization|pctl95_output_utilization|avg_input_utilization|avg_output_utilization|max_in_errors|max_in_discards|max_out_errors|max_out_discards|avg_in_errors|avg_in_discards|avg_out_errors|avg_out_discards|max_in_octets_rate|max_out_octets_rate|pctl95_in_octets_rate|pctl95_out_octets_rate|avg_in_octets_rate|avg_out_octets_rate
124207|644|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|56|GigabitEthernet8/3|GigabitEthernet8/3@Cisco_10.114.2.2|Unknown|1000000000|6|00:01:c9:df:05:f6|1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124208|643|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|57|GigabitEthernet8/4|GigabitEthernet8/4@Cisco_10.114.2.2|Unknown|1000000000|6|00:01:c9:df:05:f7|1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124209|642|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|58|GigabitEthernet8/5|GigabitEthernet8/5@Cisco_10.114.2.2|Unknown|1000000000|6|00:01:c9:df:05:f8|1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124210|641|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|59|GigabitEthernet8/6|GigabitEthernet8/6@Cisco_10.114.2.2|Unknown|1000000000|6|00:01:c9:df:05:f9|1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124211|675|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|60|Vlan1|Vlan1@Cisco_10.114.2.2|Unknown|1000000000|53||1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124212|636|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|61|EOBC0/0|EOBC0/0@Cisco_10.114.2.2|Unknown|100000000|53||1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124213|647|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|63|SPAN RP Interface|SPAN RP Interface@Cisco_10.114.2.2|Unknown|1000000000|1||1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124214|640|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|64|SPAN SP Interface|SPAN SP Interface@Cisco_10.114.2.2|Unknown|1000000000|1||1|1|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124215|561|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|66|Vlan50|Vlan50@Cisco_10.114.2.2|Unknown|1000000000|53||1|2|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124216|560|9|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|10.114.2.2|Cisco_10.114.2.2|67|Vlan51|Vlan51@Cisco_10.114.2.2|Unknown|1000000000|53||1|2|2015-08-23|3597|23|8|3|2015|34|2015|0|59|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
