syslog_key|data_source_id|syslog_id|device_type1_key|authentityid|severity_number|severity|syslogtimestamp|syslogdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|devicename|deviceip|proxyip|description|mnemonic|facility|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|count
186196|172.25.124.244|598368|5|185333|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.9|10.114.8.9|10.114.8.9|System encounter Critical issue, change state to Down|DOWN|SYS|181186_10.114.8.9|Cisco ASR 901 10G Series Aggregation Services Routers|Cisco ASR901-6CZ-FT-A Router|Routers|15.3(3)S4|1
186154|172.25.124.244|598326|1|185185|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.1|10.114.8.1|10.114.8.1|System encounter Critical issue, change state to Down|DOWN|SYS|181181_10.114.8.1|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|1
186194|172.25.124.244|598366|6|185334|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|System encounter Critical issue, change state to Down|DOWN|SYS|181187_10.114.8.13|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|1
186193|172.25.124.244|598365|0|9470461|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.4|10.114.8.4|10.114.8.4|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
186206|172.25.124.244|598378|3|185283|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.3|10.114.8.3|10.114.8.3|System encounter Critical issue, change state to Down|DOWN|SYS|181183_10.114.8.3|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|1
186191|172.25.124.244|598363|4|185332|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.6|10.114.8.6|10.114.8.6|System encounter Critical issue, change state to Down|DOWN|SYS|181185_10.114.8.6|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|1
186159|172.25.124.244|598331|19|9470510|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.5|10.114.8.5|10.114.8.5|System encounter Critical issue, change state to Down|DOWN|SYS|4771782_10.114.8.5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|1
186178|172.25.124.244|598350|2|185234|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.2|10.114.8.2|10.114.8.2|System encounter Critical issue, change state to Down|DOWN|SYS|181182_10.114.8.2|Cisco 7600 Series Routers|Cisco 7609 Router|Routers|12.2(18)SXF7|1
186214|172.25.124.244|598386|7|185335|1|Alert|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.14|10.114.8.14|10.114.8.14|System encounter Critical issue, change state to Down|DOWN|SYS|181188_10.114.8.14|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|1
186190|172.25.124.244|598362|6|185334|2|Critical|2015-08-23 00:01:35|2015-08-23|23|8|3|2015|34|2015|0|1|35|96|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|181187_10.114.8.13|Cisco ME 3600X Series Ethernet Access Switches|Cisco ME 3600X-24FS-M Switch|Switches and Hubs|12.2(52)EY|1
