date_key,year,week_number,month_number,day_in_month,quarter_number,day_end_date,year_for_week
1,2014,34,8,24,3,2014-08-24,2014
2,2014,35,8,25,3,2014-08-25,2014
3,2014,35,8,26,3,2014-08-26,2014
4,2014,35,8,27,3,2014-08-27,2014
5,2014,35,8,28,3,2014-08-28,2014
6,2014,35,8,29,3,2014-08-29,2014
7,2014,35,8,30,3,2014-08-30,2014
8,2014,35,8,31,3,2014-08-31,2014
9,2014,36,9,1,3,2014-09-01,2014
10,2014,36,9,2,3,2014-09-02,2014
11,2014,36,9,3,3,2014-09-03,2014
12,2014,36,9,4,3,2014-09-04,2014
13,2014,36,9,5,3,2014-09-05,2014
14,2014,36,9,6,3,2014-09-06,2014
15,2014,36,9,7,3,2014-09-07,2014
16,2014,37,9,8,3,2014-09-08,2014
17,2014,37,9,9,3,2014-09-09,2014
18,2014,37,9,10,3,2014-09-10,2014
19,2014,37,9,11,3,2014-09-11,2014
20,2014,37,9,12,3,2014-09-12,2014
21,2014,37,9,13,3,2014-09-13,2014
22,2014,37,9,14,3,2014-09-14,2014
23,2014,38,9,15,3,2014-09-15,2014
24,2014,38,9,16,3,2014-09-16,2014
25,2014,38,9,17,3,2014-09-17,2014
26,2014,38,9,18,3,2014-09-18,2014
27,2014,38,9,19,3,2014-09-19,2014
28,2014,38,9,20,3,2014-09-20,2014
29,2014,38,9,21,3,2014-09-21,2014
30,2014,39,9,22,3,2014-09-22,2014
31,2014,39,9,23,3,2014-09-23,2014
32,2014,39,9,24,3,2014-09-24,2014
33,2014,39,9,25,3,2014-09-25,2014
34,2014,39,9,26,3,2014-09-26,2014
35,2014,39,9,27,3,2014-09-27,2014
36,2014,39,9,28,3,2014-09-28,2014
37,2014,40,9,29,3,2014-09-29,2014
38,2014,40,9,30,3,2014-09-30,2014
39,2014,40,10,1,4,2014-10-01,2014
40,2014,40,10,2,4,2014-10-02,2014
41,2014,40,10,3,4,2014-10-03,2014
42,2014,40,10,4,4,2014-10-04,2014
43,2014,40,10,5,4,2014-10-05,2014
44,2014,41,10,6,4,2014-10-06,2014
45,2014,41,10,7,4,2014-10-07,2014
46,2014,41,10,8,4,2014-10-08,2014
47,2014,41,10,9,4,2014-10-09,2014
48,2014,41,10,10,4,2014-10-10,2014
49,2014,41,10,11,4,2014-10-11,2014
50,2014,41,10,12,4,2014-10-12,2014
51,2014,42,10,13,4,2014-10-13,2014
52,2014,42,10,14,4,2014-10-14,2014
53,2014,42,10,15,4,2014-10-15,2014
54,2014,42,10,16,4,2014-10-16,2014
55,2014,42,10,17,4,2014-10-17,2014
56,2014,42,10,18,4,2014-10-18,2014
57,2014,42,10,19,4,2014-10-19,2014
58,2014,43,10,20,4,2014-10-20,2014
59,2014,43,10,21,4,2014-10-21,2014
60,2014,43,10,22,4,2014-10-22,2014
61,2014,43,10,23,4,2014-10-23,2014
62,2014,43,10,24,4,2014-10-24,2014
63,2014,43,10,25,4,2014-10-25,2014
64,2014,43,10,26,4,2014-10-26,2014
65,2014,44,10,27,4,2014-10-27,2014
66,2014,44,10,28,4,2014-10-28,2014
67,2014,44,10,29,4,2014-10-29,2014
68,2014,44,10,30,4,2014-10-30,2014
69,2014,44,10,31,4,2014-10-31,2014
70,2014,44,11,1,4,2014-11-01,2014
71,2014,44,11,2,4,2014-11-02,2014
72,2014,45,11,3,4,2014-11-03,2014
73,2014,45,11,4,4,2014-11-04,2014
74,2014,45,11,5,4,2014-11-05,2014
75,2014,45,11,6,4,2014-11-06,2014
76,2014,45,11,7,4,2014-11-07,2014
77,2014,45,11,8,4,2014-11-08,2014
78,2014,45,11,9,4,2014-11-09,2014
79,2014,46,11,10,4,2014-11-10,2014
80,2014,46,11,11,4,2014-11-11,2014
81,2014,46,11,12,4,2014-11-12,2014
82,2014,46,11,13,4,2014-11-13,2014
83,2014,46,11,14,4,2014-11-14,2014
84,2014,46,11,15,4,2014-11-15,2014
85,2014,46,11,16,4,2014-11-16,2014
86,2014,47,11,17,4,2014-11-17,2014
87,2014,47,11,18,4,2014-11-18,2014
