data_source_id|device_type1_key|authentityid|severity_number|severity|notificationdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|classname|category|displayname|description|source|eventtype|nttyaddrss7_address|generatedby|elementname|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|count
172.25.124.232|0|185342|3|Minor|2015-08-26|26|8|3|2015|35|2015|14|RogueApEvent|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Rogue AP '88:f0:31:47:b3:7b' with SSID 'PI_ENTERPRISE' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-49'. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|185342|3|Minor|2015-08-26|26|8|3|2015|35|2015|14|RogueApEvent|Rogue AP|Rogue AP f4:ea:67:0a:c6:2f|Rogue AP 'f4:ea:67:0a:c6:2f' with SSID 'blizzard' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-85'. |RogueAp!f4:ea:67:0a:c6:2f|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|185342|3|Minor|2015-08-26|26|8|3|2015|35|2015|14|RogueApEvent|Rogue AP|Rogue AP 00:3a:98:0b:e6:0e|Rogue AP '00:3a:98:0b:e6:0e' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-67'. |RogueAp!00:3a:98:0b:e6:0e|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|185344|3|Minor|2015-08-26|26|8|3|2015|35|2015|14|RogueApEvent|Rogue AP|Rogue AP 44:e4:d9:41:8c:82|Rogue AP '44:e4:d9:41:8c:82' with SSID 'internet' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-64'. |RogueAp!44:e4:d9:41:8c:82|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|185344|3|Minor|2015-08-26|26|8|3|2015|35|2015|14|RogueApEvent|Rogue AP|Rogue AP 44:e4:d9:41:8c:81|Rogue AP '44:e4:d9:41:8c:81' with SSID '' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-64'. |RogueAp!44:e4:d9:41:8c:81|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|181181|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.1(10.114.8.1)|Device Cisco_10.114.8.1/CPU of Routing Processor 5: value of CPU Utilization = 178 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.1|TV_CPU_UTILIZATION|10.114.8.1|Wired Switch|CPU of Routing Processor 5|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|181182|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.2(10.114.8.2)|Device Cisco_10.114.8.2/CPU of Switching Processor 5: value of CPU Utilization = 227 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.2|TV_CPU_UTILIZATION|10.114.8.2|Wired Switch|CPU of Switching Processor 5|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|181184|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.5(10.114.8.5)|Device Cisco_10.114.8.5/cpu R0/0: value of CPU Utilization = 314 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.5|TV_CPU_UTILIZATION|10.114.8.5|Wired Switch|cpu R0/0|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|7|181187|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.10(10.114.8.10)|Device Cisco_10.114.8.10/CPU 1: value of CPU Utilization = 298 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.10|TV_CPU_UTILIZATION|10.114.8.10|Wired Switch|CPU 1|0|Unknown|NA|181187_10.114.8.10|Cisco ASR 901 10G Series Aggregation Services Routers|Cisco ASR901-6CZ-FT-A Router|Routers|15.3(3)S4|10.114.8.10|Cisco_10.114.8.10|1
172.25.124.232|0|181182|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.2(10.114.8.2)|Device Cisco_10.114.8.2/CPU of Routing Processor 5: value of CPU Utilization = 172 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.2|TV_CPU_UTILIZATION|10.114.8.2|Wired Switch|CPU of Routing Processor 5|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172.25.124.232|0|181183|5|Cleared|2015-08-26|26|8|3|2015|35|2015|15|ThresholdEvent|Routers|Cisco_10.114.8.3(10.114.8.3)|Device Cisco_10.114.8.3/CPU of Routing Processor 5: value of CPU Utilization = 144 violated the set threshold: 90 - Automonitoring - Device Health |10.114.8.3|TV_CPU_UTILIZATION|10.114.8.3|Wired Switch|CPU of Routing Processor 5|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
