event_key|data_source_id|event_id|device_type1_key|authentityid|alarmforevents_id|severity_number|severity|notificationdate|notificationtimestamp|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|classname|category|displayname|description|source|eventtype|nttyaddrss7_address|generatedby|elementname|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|count
173|172.25.124.232|2239|0|185342|247704|3|Minor|2015-08-26|2015-08-26 14:12:30|26|8|3|2015|35|2015|14|12|30|51151|RogueApEvent|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Rogue AP '88:f0:31:47:b3:7b' with SSID 'PI_ENTERPRISE' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-49'. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
164|172.25.124.232|2230|0|185342|247695|3|Minor|2015-08-26|2015-08-26 14:17:59|26|8|3|2015|35|2015|14|17|59|51480|RogueApEvent|Rogue AP|Rogue AP f4:ea:67:0a:c6:2f|Rogue AP 'f4:ea:67:0a:c6:2f' with SSID 'blizzard' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-85'. |RogueAp!f4:ea:67:0a:c6:2f|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
177|172.25.124.232|2243|0|185342|247708|3|Minor|2015-08-26|2015-08-26 14:20:13|26|8|3|2015|35|2015|14|20|13|51614|RogueApEvent|Rogue AP|Rogue AP 00:3a:98:0b:e6:0e|Rogue AP '00:3a:98:0b:e6:0e' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-67'. |RogueAp!00:3a:98:0b:e6:0e|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
168|172.25.124.232|2234|0|185344|247699|3|Minor|2015-08-26|2015-08-26 14:29:28|26|8|3|2015|35|2015|14|29|28|52169|RogueApEvent|Rogue AP|Rogue AP 44:e4:d9:41:8c:82|Rogue AP '44:e4:d9:41:8c:82' with SSID 'internet' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-64'. |RogueAp!44:e4:d9:41:8c:82|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
167|172.25.124.232|2233|0|185344|247698|3|Minor|2015-08-26|2015-08-26 14:29:28|26|8|3|2015|35|2015|14|29|28|52169|RogueApEvent|Rogue AP|Rogue AP 44:e4:d9:41:8c:81|Rogue AP '44:e4:d9:41:8c:81' with SSID '' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-64'. |RogueAp!44:e4:d9:41:8c:81|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
172|172.25.124.232|2238|0|185342|247703|3|Minor|2015-08-26|2015-08-26 15:15:13|26|8|3|2015|35|2015|15|15|13|54914|RogueApEvent|Rogue AP|Rogue AP 88:f0:31:47:b3:7f|Rogue AP '88:f0:31:47:b3:7f' with SSID 'Wlan' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-50'. |RogueAp!88:f0:31:47:b3:7f|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
166|172.25.124.232|2232|0|185342|247697|3|Minor|2015-08-26|2015-08-26 15:18:43|26|8|3|2015|35|2015|15|18|43|55124|RogueApEvent|Rogue AP|Rogue AP 44:e4:d9:41:8c:8c|Rogue AP '44:e4:d9:41:8c:8c' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-78'. |RogueAp!44:e4:d9:41:8c:8c|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
171|172.25.124.232|2237|0|185342|247702|3|Minor|2015-08-26|2015-08-26 15:21:42|26|8|3|2015|35|2015|15|21|42|55303|RogueApEvent|Adhoc Rogue|Adhoc Rogue54:9f:13:31:93:11|Adhoc Rogue '54:9f:13:31:93:11' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-60'. |RogueAp!54:9f:13:31:93:11|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
180|172.25.124.232|2246|0|185342|247711|3|Minor|2015-08-26|2015-08-26 15:21:42|26|8|3|2015|35|2015|15|21|42|55303|RogueApEvent|Rogue AP|Rogue AP c8:f9:f9:5b:03:61|Rogue AP 'c8:f9:f9:5b:03:61' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-77'. |RogueAp!c8:f9:f9:5b:03:61|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
178|172.25.124.232|2244|0|185342|247709|3|Minor|2015-08-26|2015-08-26 15:28:42|26|8|3|2015|35|2015|15|28|42|55723|RogueApEvent|Rogue AP|Rogue AP c8:f9:f9:5b:03:63|Rogue AP 'c8:f9:f9:5b:03:63' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-77'. |RogueAp!c8:f9:f9:5b:03:63|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
176|172.25.124.232|2242|0|185342|247707|3|Minor|2015-08-26|2015-08-26 15:31:42|26|8|3|2015|35|2015|15|31|42|55903|RogueApEvent|Adhoc Rogue|Adhoc Rogue78:fd:94:0f:6c:31|Adhoc Rogue '78:fd:94:0f:6c:31' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-68'. |RogueAp!78:fd:94:0f:6c:31|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
181|172.25.124.232|2247|0|185342|247712|3|Minor|2015-08-26|2015-08-26 15:31:42|26|8|3|2015|35|2015|15|31|42|55903|RogueApEvent|Rogue AP|Rogue AP c8:f9:f9:5b:03:60|Rogue AP 'c8:f9:f9:5b:03:60' with SSID 'blizzard' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-77'. |RogueAp!c8:f9:f9:5b:03:60|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
179|172.25.124.232|2245|0|185342|247710|3|Minor|2015-08-26|2015-08-26 15:31:42|26|8|3|2015|35|2015|15|31|42|55903|RogueApEvent|Rogue AP|Rogue AP c8:f9:f9:5b:03:62|Rogue AP 'c8:f9:f9:5b:03:62' with SSID 'internet' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-77'. |RogueAp!c8:f9:f9:5b:03:62|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
169|172.25.124.232|2235|0|185344|247700|3|Minor|2015-08-26|2015-08-26 15:37:28|26|8|3|2015|35|2015|15|37|28|56249|RogueApEvent|Rogue AP|Rogue AP 04:c5:a4:09:40:a1|Rogue AP '04:c5:a4:09:40:a1' with SSID '' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-79'. |RogueAp!04:c5:a4:09:40:a1|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
175|172.25.124.232|2241|0|185342|247706|3|Minor|2015-08-26|2015-08-26 15:41:13|26|8|3|2015|35|2015|15|41|13|56474|RogueApEvent|Rogue AP|Rogue AP f4:ea:67:0b:00:3f|Rogue AP 'f4:ea:67:0b:00:3f' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-88'. |RogueAp!f4:ea:67:0b:00:3f|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
170|172.25.124.232|2236|0|185344|247701|3|Minor|2015-08-26|2015-08-26 15:44:58|26|8|3|2015|35|2015|15|44|58|56699|RogueApEvent|Rogue AP|Rogue AP 04:c5:a4:09:40:a2|Rogue AP '04:c5:a4:09:40:a2' with SSID 'internet' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-78'. |RogueAp!04:c5:a4:09:40:a2|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
174|172.25.124.232|2240|0|185344|247705|3|Minor|2015-08-26|2015-08-26 15:45:59|26|8|3|2015|35|2015|15|45|59|56760|RogueApEvent|Rogue AP|Rogue AP 00:3a:98:08:77:6b|Rogue AP '00:3a:98:08:77:6b' with SSID 'alpha' is detected by AP 'APf4cf.e2ff.50bf' Radio type 'Unknown' with RSSI '-89'. |RogueAp!00:3a:98:08:77:6b|UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
165|172.25.124.232|2231|0|185342|247696|3|Minor|2015-08-26|2015-08-26 15:47:42|26|8|3|2015|35|2015|15|47|42|56863|RogueApEvent|Adhoc Rogue|Adhoc Rogue44:6d:57:36:4b:d3|Adhoc Rogue '44:6d:57:36:4b:d3' with SSID '' is detected by AP 'AP881d.fca9.3e78' Radio type 'Unknown' with RSSI '-58'. |RogueAp!44:6d:57:36:4b:d3|ADHOC_UNCLASSIFIED_ROGUE_AP_DETECTED|172.25.124.196|Nms|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
1|172.25.124.232|2067|0|0|247674|2|Major|2015-08-26|2015-08-26 16:40:18|26|8|3|2015|35|2015|16|40|18|60019|WiredWirelessEvent|System|NCS-ConfigArchive|Config Archive Failed for the Device : 10.114.8.17|NCS-ConfigArchive(172.25.124.232)|SYSTEM_MONITOR|172.25.124.232|SYSTEM_MONITOR|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
2|172.25.124.232|2068|0|0|247674|2|Major|2015-08-26|2015-08-26 16:40:35|26|8|3|2015|35|2015|16|40|35|60036|WiredWirelessEvent|System|NCS-ConfigArchive|Config Archive Failed for the Device : 10.114.8.2|NCS-ConfigArchive(172.25.124.232)|SYSTEM_MONITOR|172.25.124.232|SYSTEM_MONITOR|Unknown|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
