data_source_id|device_type1_key|authentityid|severity_number|severity|syslogdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|devicename|deviceip|proxyip|description|mnemonic|facility|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|count
172.25.124.232|0|185337|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.14|10.114.8.14|10.114.8.14|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185336|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185335|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.10|10.114.8.10|10.114.8.10|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185283|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.1|10.114.8.1|10.114.8.1|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185332|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.5|10.114.8.5|10.114.8.5|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185333|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.6|10.114.8.6|10.114.8.6|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185234|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.3|10.114.8.3|10.114.8.3|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185185|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.2|10.114.8.2|10.114.8.2|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185338|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.17|10.114.8.17|10.114.8.17|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185339|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.18|10.114.8.18|10.114.8.18|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185334|1|Alert|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.9|10.114.8.9|10.114.8.9|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185283|2|Critical|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.1|10.114.8.1|10.114.8.1|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185336|2|Critical|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185333|2|Critical|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.6|10.114.8.6|10.114.8.6|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|10
172.25.124.232|0|185234|2|Critical|2015-08-26|26|8|3|2015|35|2015|15|Cisco_10.114.8.3|10.114.8.3|10.114.8.3|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|10
