syslog_key|data_source_id|syslog_id|device_type1_key|authentityid|severity_number|severity|syslogtimestamp|syslogdate|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|devicename|deviceip|proxyip|description|mnemonic|facility|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|count
63|172.25.124.232|135|0|185337|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.14|10.114.8.14|10.114.8.14|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
87|172.25.124.232|159|0|185336|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
57|172.25.124.232|129|0|185335|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.10|10.114.8.10|10.114.8.10|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
22|172.25.124.232|94|0|185283|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.1|10.114.8.1|10.114.8.1|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
47|172.25.124.232|119|0|185332|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.5|10.114.8.5|10.114.8.5|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
31|172.25.124.232|103|0|185333|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.6|10.114.8.6|10.114.8.6|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
32|172.25.124.232|104|0|185234|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.3|10.114.8.3|10.114.8.3|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
78|172.25.124.232|150|0|185185|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.2|10.114.8.2|10.114.8.2|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
77|172.25.124.232|149|0|185338|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.17|10.114.8.17|10.114.8.17|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
40|172.25.124.232|112|0|185339|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.18|10.114.8.18|10.114.8.18|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
34|172.25.124.232|106|0|185334|1|Alert|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.9|10.114.8.9|10.114.8.9|System encounter Critical issue, change state to Down|DOWN|SYS|Unknown|Unknown|Unknown|Unknown|Unknown|1
62|172.25.124.232|134|0|185337|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.14|10.114.8.14|10.114.8.14|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
55|172.25.124.232|127|0|185335|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.10|10.114.8.10|10.114.8.10|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
46|172.25.124.232|118|0|185332|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.5|10.114.8.5|10.114.8.5|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
39|172.25.124.232|111|0|185339|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.18|10.114.8.18|10.114.8.18|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
75|172.25.124.232|147|0|185338|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.17|10.114.8.17|10.114.8.17|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
76|172.25.124.232|148|0|185185|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.2|10.114.8.2|10.114.8.2|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
30|172.25.124.232|102|0|185334|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.9|10.114.8.9|10.114.8.9|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
26|172.25.124.232|98|0|185234|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.3|10.114.8.3|10.114.8.3|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
25|172.25.124.232|97|0|185333|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.6|10.114.8.6|10.114.8.6|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
86|172.25.124.232|158|0|185336|2|Critical|2015-08-26 15:14:19|2015-08-26|26|8|3|2015|35|2015|15|14|19|54860|Cisco_10.114.8.13|10.114.8.13|10.114.8.13|Line Protocol on Interface GigabitEthernet 1/0, changed state to down|UPDOWN|LINEPROTO|Unknown|Unknown|Unknown|Unknown|Unknown|1
