alarm_key|data_source_id|alarm_id|device_type1_key|authentityid|severity_number|severity|previousseverity_number|previousseverity|alarmcreationdate|alarmcreationtime|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|lastmodifieddate|lastmodifiedtimestamp|l_day_in_month|l_month_number|l_quarter_number|l_year|l_week_number|l_year_for_week|l_hour|l_minute|l_second|l_time_key|classname|category|displayname|location|description|source|eventtype|eventcount|isacknowledged|ownerid|applicationspecificalarmid|nttyaddrss7_address|generatedby|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|timetoclose|count
2272|172.25.124.232|247753|0|185344|3|Minor|5|Cleared|2015-08-27|2015-08-27 02:58:48|27|8|3|2015|35|2015|2|58|48|10729|2015-08-27|2015-08-27 02:58:48|27|8|3|2015|35|2015|2|58|48|10729|WiredWirelessAlarm|AP|AP APf4cf.e2ff.50bf, Interface 802.11b/g/n|Unknown|Noise threshold violation reported by '802.11b/g/n' interface  of AP 'APf4cf.e2ff.50bf', connected to Controller '172.25.124.196'. |LradIf!3c:5e:c3:61:a3:80!0|RADIO_LOAD_PROFILE_FAILED|1|0|Unknown|NoiseProfile_LradIf!3c:5e:c3:61:a3:80!0|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|1
2278|172.25.124.232|247753|0|185344|5|Cleared|3|Minor|2015-08-27|2015-08-27 02:58:48|27|8|3|2015|35|2015|2|58|48|10729|2015-08-27|2015-08-27 03:03:49|27|8|3|2015|35|2015|3|3|49|11030|WiredWirelessAlarm|AP|AP APf4cf.e2ff.50bf, Interface 802.11b/g/n|Unknown|Noise changed to acceptable level on '802.11b/g/n' interface of AP 'APf4cf.e2ff.50bf', connected to Controller '172.25.124.196'. |LradIf!3c:5e:c3:61:a3:80!0|RADIO_LOAD_PROFILE_FAILED|1|0|Unknown|NoiseProfile_LradIf!3c:5e:c3:61:a3:80!0|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|301|1
2631|172.25.124.232|247451|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:42:11|27|8|3|2015|35|2015|1|42|11|6132|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP f4:ea:67:0b:59:a2|Unknown|Rogue AP 'f4:ea:67:0b:59:a2' is no longer detected on the network. |RogueAp!f4:ea:67:0b:59:a2|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!f4:ea:67:0b:59:a2|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11383|1
2685|172.25.124.232|247703|0|185344|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:29:58|27|8|3|2015|35|2015|1|29|58|5399|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7f|Unknown|Rogue AP '88:f0:31:47:b3:7f' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7f|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7f|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12116|1
2669|172.25.124.232|247704|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:29:58|27|8|3|2015|35|2015|1|29|58|5399|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP 88:f0:31:47:b3:7b|Unknown|Rogue AP '88:f0:31:47:b3:7b' is no longer detected on the network. |RogueAp!88:f0:31:47:b3:7b|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!88:f0:31:47:b3:7b|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12116|1
2676|172.25.124.232|247751|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:33:12|27|8|3|2015|35|2015|1|33|12|5593|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP 04:c5:a4:66:ef:ed|Unknown|Rogue AP '04:c5:a4:66:ef:ed' is no longer detected on the network. |RogueAp!04:c5:a4:66:ef:ed|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!04:c5:a4:66:ef:ed|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11922|1
2655|172.25.124.232|247521|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:15:42|27|8|3|2015|35|2015|1|15|42|4543|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cc|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cc' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cc|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cc|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12972|1
2651|172.25.124.232|247728|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:39:12|27|8|3|2015|35|2015|1|39|12|5953|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:cd|Unknown|Rogue AP 'c8:f9:f9:5a:f6:cd' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:cd|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:cd|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11562|1
2650|172.25.124.232|247727|0|185342|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:39:12|27|8|3|2015|35|2015|1|39|12|5953|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:5a:f6:ce|Unknown|Rogue AP 'c8:f9:f9:5a:f6:ce' is no longer detected on the network. |RogueAp!c8:f9:f9:5a:f6:ce|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:5a:f6:ce|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|11562|1
2649|172.25.124.232|247435|0|185344|5|Cleared|3|Minor|2015-08-27|2015-08-27 01:25:27|27|8|3|2015|35|2015|1|25|27|5128|2015-08-27|2015-08-27 04:51:54|27|8|3|2015|35|2015|4|51|54|17515|RogueApAlert|Rogue AP|Rogue AP c8:f9:f9:29:d3:d1|Unknown|Rogue AP 'c8:f9:f9:29:d3:d1' is no longer detected on the network. |RogueAp!c8:f9:f9:29:d3:d1|UNCLASSIFIED_ROGUE_AP_DETECTED|1|0|Unknown|RogueAp!c8:f9:f9:29:d3:d1|172.25.124.196|Nms|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|12387|1
