if_utilization_key|interface_type1_key|device_type1_key|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|ifindex|ifname|iffullname|ifdescr|ifspeed|iftype|macaddress|adminstatus|operstatus|date|time_key|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|num_samples|times_in_util_greater_than_50|times_in_util_greater_than_75|times_in_util_greater_than_90|times_out_util_greater_than_50|times_out_util_greater_than_75|times_out_util_greater_than_90|max_input_utilization|max_output_utilization|pctl95_input_utilization|pctl95_output_utilization|avg_input_utilization|avg_output_utilization|max_in_errors|max_in_discards|max_out_errors|max_out_discards|avg_in_errors|avg_in_discards|avg_out_errors|avg_out_discards|max_in_octets_rate|max_out_octets_rate|pctl95_in_octets_rate|pctl95_out_octets_rate|avg_in_octets_rate|avg_out_octets_rate
9|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|24|36|55|59|14|16|33|29|0|0|0|0|0|0
10|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|27|23|59|63|15|14|39|30|0|0|0|0|0|0
11|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|11|8|11|8|10
12|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|972|982|965|974|932|940
13|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1003|1007|995|999|961|966
14|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|69|54|67|54|60|52
15|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|72|104|71|101|66|88
16|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|3579|27|8|3|2015|35|2015|0|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|8|9|8|9|7
17|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|26|31|52|62|16|16|23|37|0|0|0|0|0|0
18|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|36|34|54|62|14|16|37|27|0|0|0|0|0|0
