date_key,year,week_number,month_number,day_in_month,quarter_number,day_end_date,year_for_week
3709,,,,,,2015-05-27,
3710,,,,,,2015-06-01,
3711,,,,,,2015-03-13,
3712,,,,,,2015-05-30,
3713,,,,,,2015-03-26,
3714,,,,,,2015-08-28,
3715,,,,,,2015-06-03,
3716,,,,,,2015-03-20,
3717,,,,,,2015-03-21,
3718,2015,35,8,28,3,2015-08-28,
3719,,,,,,2015-08-29,
3720,2015,35,8,29,3,2015-08-29,
3721,,,,,,2015-08-30,
3722,2015,35,8,30,3,2015-08-30,
3723,,,,,,2015-08-31,
3724,2015,36,8,31,3,2015-08-31,
3725,,,,,,2015-09-01,
3726,2015,36,9,1,3,2015-09-01,
3727,,,,,,2015-09-02,
3728,2015,36,9,2,3,2015-09-02,
3729,,,,,,2015-09-03,
3730,2015,36,9,3,3,2015-09-03,
