0|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|1|(null)|(null)
9|10.32.202.30|678678_10.34.215.248|681689|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-22 22:01:00|22|3|1|2015|13|2015|22|1|(null)|Cisco 4331 Integrated Services Router|Routers|FDO1816A01A|15.4(20141221:125419)|10.34.215.248|sjc22-22a-sword1.cisco.com|(null)|2015-03-03 19:10:04|IOS-XE|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
19|10.32.202.30|678681_10.34.215.18|2518528|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-22 22:01:00|22|3|1|2015|13|2015|22|1|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|FOC1410Y1LV|12.2(35)SE5|10.34.215.18|sjc22-12a-access1|(null)|2014-05-16 15:12:35|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
1|10.32.202.30|678690_10.34.215.10|681681|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:33|30|3|1|2015|14|2015|22|8|(null)|Cisco ASR 1002 Router|Routers|FOX1551H52D|15.5(20150315:123209)|10.34.215.10|sjc22-22a-pfrmc.cisco.com|(null)|2015-03-16 19:44:43|IOS-XE|SJC22/IDF2.2|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
2|10.32.202.30|678685_10.34.215.12|681682|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:39|30|3|1|2015|14|2015|22|8|(null)|Cisco 7604 Router|Routers|FOX1221G6RB|12.2(33)SRD6|10.34.215.12|sjc22-22a-mpls-core2|(null)|2014-08-27 23:05:08|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
3|10.32.202.30|678680_10.34.215.4|681683|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:33|30|3|1|2015|14|2015|22|8|(null)|Cisco 3945E Integrated Services Router G2|Routers|FTX1527AKN2|15.4(3)M0.2|10.34.215.4|sjc22-22a-heb2.cisco.com|(null)|2014-09-20 21:27:50|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
6|10.32.202.30|678688_10.34.215.38|681686|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:32|30|3|1|2015|14|2015|22|8|(null)|Cisco 2511 Access Server|Universal Gateways and Access Servers|Unknown|12.2(1d)|10.34.215.38|sjc22-00a-srtg-ts2|(null)|2014-05-10 22:20:35|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
7|10.32.202.30|678689_10.34.215.3|681687|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:34|30|3|1|2015|14|2015|22|8|(null)|Cisco 3945 Integrated Services Router G2|Routers|FTX1504AHSH|15.5(1.23)T0.6|10.34.215.3|sjc22-22a-heb1.cisco.com|(null)|2015-03-11 00:46:09|IOS|SJC22/IDF2.2|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
8|10.32.202.30|678687_10.34.215.8|681688|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:09:42|30|3|1|2015|14|2015|22|9|(null)|Cisco 4451 Series Integrated Services Router|Routers|FGL163813WD|15.5(20150323:122424)|10.34.215.8|sjc22-22a-overlord1.cisco.com|(null)|2015-03-24 16:57:56|IOS-XE|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
4|10.32.202.30|678679_10.34.215.249|681684|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:11:04|30|3|1|2015|14|2015|22|11|(null)|Cisco Cloud Services Router 1000V|Routers|9IPCIBZ1KGR|15.5(20140921:214252)|10.34.215.249|sjc22-22a-br-csr1.cisco.com|(null)|2014-09-23 13:09:16|IOS-XE|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
5|10.32.202.30|678695_10.34.215.29|681685|2014-10-08 05:38:36|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:33|30|3|1|2015|14|2015|22|8|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|FOC0924U0ZU|12.2(52)SE|10.34.215.29|sjc22-11a-access1|(null)|2014-05-16 16:25:08|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
10|10.32.202.30|678694_10.34.215.11|681690|2014-10-08 05:38:36|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:38|30|3|1|2015|14|2015|22|8|(null)|Cisco 7604 Router|Routers|FOX1221G6VF|12.2(33)SRD6|10.34.215.11|sjc22-22a-mpls-core1|(null)|2014-08-27 23:07:00|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
11|10.32.202.30|678693_10.34.215.1|681698|2014-10-08 05:38:36|8|10|4|2014|41|2014|5|38|2015-03-30 22:08:52|30|3|1|2015|14|2015|22|8|(null)|Cisco ASR 1002 Router|Routers|FOX1442G610|15.5(20150304:072729)|10.34.215.1|sjc22-00a-asr1.cisco.com|(null)|2015-03-05 06:41:02|IOS-XE|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
13|10.32.202.30|678692_10.34.215.25|681700|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:10:48|30|3|1|2015|14|2015|22|10|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|FDO1552P0B5|12.2(58)SE2|10.34.215.25|sjc22-22a-HQ-access1|(null)|2014-05-10 22:11:23|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
14|10.32.202.30|678686_10.34.215.21|681774|2014-10-08 05:38:35|8|10|4|2014|41|2014|5|38|2015-03-30 22:20:45|30|3|1|2015|14|2015|22|20|(null)|Cisco Catalyst 29xx Stack-able Ethernet Switch|Switches and Hubs|FOC1605W5JM|12.2(58)SE2|10.34.215.21|sjc22-21a-access1|(null)|2014-05-16 15:41:19|IOS|Unknown|(null)|(null)|(null)|false|2014-01-01 00:00:00|1|1899-12-31|2199-12-31
