if_utilization_key|interface_type1_key|device_type1_key|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|ifindex|ifname|iffullname|ifdescr|ifspeed|iftype|macaddress|adminstatus|operstatus|date|time_key|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|num_samples|times_in_util_greater_than_50|times_in_util_greater_than_75|times_in_util_greater_than_90|times_out_util_greater_than_50|times_out_util_greater_than_75|times_out_util_greater_than_90|max_input_utilization|max_output_utilization|pctl95_input_utilization|pctl95_output_utilization|avg_input_utilization|avg_output_utilization|max_in_errors|max_in_discards|max_out_errors|max_out_discards|avg_in_errors|avg_in_discards|avg_out_errors|avg_out_discards|max_in_octets_rate|max_out_octets_rate|pctl95_in_octets_rate|pctl95_out_octets_rate|avg_in_octets_rate|avg_out_octets_rate
73533|570|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|5185|StackPort3|StackPort3@sjc22-32a-access1|Unknown|0|53|(null)|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
73507|159|5|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|12.2(52)SE|10.34.215.29|sjc22-11a-access1|10116|GigabitEthernet1/0/16|GigabitEthernet1/0/16@sjc22-11a-access1|Wireless AP only|1000000000|6|00:14:6a:f7:91:90|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1469|1079|1463|1078|799|825
73029|1067|18|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|Unknown|10.34.215.23|sjc22-31a-access1|10105|GigabitEthernet1/0/5|GigabitEthernet1/0/5@sjc22-31a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f5:05|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|26|757|26|751|24|734
73535|573|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|5188|StackPort4|StackPort4@sjc22-32a-access1|Unknown|0|53|(null)|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
73043|1074|18|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|Unknown|10.34.215.23|sjc22-31a-access1|10112|GigabitEthernet1/0/12|GigabitEthernet1/0/12@sjc22-31a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f5:0c|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1212|1118|852|964|465|797
73545|755|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|10105|GigabitEthernet1/0/5|GigabitEthernet1/0/5@sjc22-32a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f2:05|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|759|0|758|0|734
73047|1076|18|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|Unknown|10.34.215.23|sjc22-31a-access1|10114|GigabitEthernet1/0/14|GigabitEthernet1/0/14@sjc22-31a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f5:0e|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1308|1100|946|957|556|795
73479|145|5|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|12.2(52)SE|10.34.215.29|sjc22-11a-access1|10102|GigabitEthernet1/0/2|GigabitEthernet1/0/2@sjc22-11a-access1|Wireless AP only|1000000000|6|00:14:6a:f7:91:82|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1371|1065|1059|939|700|794
73057|1081|18|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|Unknown|10.34.215.23|sjc22-31a-access1|10119|GigabitEthernet1/0/19|GigabitEthernet1/0/19@sjc22-31a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f5:13|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1225|1099|864|957|470|796
73537|751|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|10101|GigabitEthernet1/0/1|GigabitEthernet1/0/1@sjc22-32a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f2:01|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1297|1040|950|928|571|791
73045|1075|18|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|Unknown|10.34.215.23|sjc22-31a-access1|10113|GigabitEthernet1/0/13|GigabitEthernet1/0/13@sjc22-31a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f5:0d|1|1|2015-03-28|2907|28|3|1|2015|13|2015|0|48|10|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1158|1044|892|926|528|789
