if_utilization_key|interface_type1_key|device_type1_key|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|ifindex|ifname|iffullname|ifdescr|ifspeed|iftype|macaddress|adminstatus|operstatus|date|time_key|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|num_samples|times_in_util_greater_than_50|times_in_util_greater_than_75|times_in_util_greater_than_90|times_out_util_greater_than_50|times_out_util_greater_than_75|times_out_util_greater_than_90|max_input_utilization|max_output_utilization|pctl95_input_utilization|pctl95_output_utilization|avg_input_utilization|avg_output_utilization|max_in_errors|max_in_discards|max_out_errors|max_out_discards|avg_in_errors|avg_in_discards|avg_out_errors|avg_out_discards|max_in_octets_rate|max_out_octets_rate|pctl95_in_octets_rate|pctl95_out_octets_rate|avg_in_octets_rate|avg_out_octets_rate
24229|19|10|(null)|Cisco 7604 Router|Routers|12.2(33)SRD6|10.34.215.11|sjc22-22a-mpls-core1|32|Control Plane|Control Plane@sjc22-22a-mpls-core1|Unknown|10000000000|1|(null)|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
24431|995|15|(null)|Cisco Catalyst 29xx Stack-able Ethernet Switch|Switches and Hubs|12.2(58)SE2|10.34.215.22|sjc22-22a-access1|10607|GigabitEthernet2/0/7|GigabitEthernet2/0/7@sjc22-22a-access1|Wireless AP only|1000000000|6|8c:b6:4f:9f:00:07|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1375|1066|1210|1025|699|839
24387|1372|20|(null)|Cisco Catalyst 3560X-48PF-L,S Switch|Switches and Hubs|Unknown|10.34.215.26|sjc22-sdf13a-access1|20567|Loopback0|Loopback0@sjc22-sdf13a-access1|Unknown|8000000000|24|(null)|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
24333|763|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|10114|GigabitEthernet1/0/14|GigabitEthernet1/0/14@sjc22-32a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f2:0e|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|423|845|418|833|391|783
24227|54|10|(null)|Cisco 7604 Router|Routers|12.2(33)SRD6|10.34.215.11|sjc22-22a-mpls-core1|31|Loopback1|Loopback1@sjc22-22a-mpls-core1|Unknown|8000000000|24|(null)|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
24353|1319|20|(null)|Cisco Catalyst 3560X-48PF-L,S Switch|Switches and Hubs|Unknown|10.34.215.26|sjc22-sdf13a-access1|10103|GigabitEthernet0/3|GigabitEthernet0/3@sjc22-sdf13a-access1|Unknown|1000000000|6|e0:5f:b9:87:c5:83|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|47|215|47|213|44|199
24433|996|15|(null)|Cisco Catalyst 29xx Stack-able Ethernet Switch|Switches and Hubs|12.2(58)SE2|10.34.215.22|sjc22-22a-access1|10608|GigabitEthernet2/0/8|GigabitEthernet2/0/8@sjc22-22a-access1|Wireless AP only|1000000000|6|8c:b6:4f:9f:00:08|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1244|1075|1090|1034|598|843
24379|1358|20|(null)|Cisco Catalyst 3560X-48PF-L,S Switch|Switches and Hubs|Unknown|10.34.215.26|sjc22-sdf13a-access1|10142|GigabitEthernet0/42|GigabitEthernet0/42@sjc22-sdf13a-access1|Unknown|1000000000|6|e0:5f:b9:87:c5:aa|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|192|206|191|205|184|190
24225|53|10|(null)|Cisco 7604 Router|Routers|12.2(33)SRD6|10.34.215.11|sjc22-22a-mpls-core1|30|Loopback0|Loopback0@sjc22-22a-mpls-core1|Unknown|8000000000|24|(null)|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0
24335|764|16|(null)|Cisco 3750 Stackable Switches|Switches and Hubs|15.0(2)SE2|10.34.215.24|sjc22-32a-access1|10115|GigabitEthernet1/0/15|GigabitEthernet1/0/15@sjc22-32a-access1|Wireless AP only|1000000000|6|f0:f7:55:5c:f2:0f|1|1|2015-03-25|1431|25|3|1|2015|13|2015|0|23|5|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1244|1086|1083|1038|585|847
