0|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|1|(null)|(null)
1|689742|10.32.202.30|678680_10.34.215.4|5|Backplane-GigabitEthernet0/4|Backplane-GigabitEthernet0/4@sjc22-22a-heb2.cisco.com|Unknown|1000000000|6|30:e4:db:49:17:04|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
2|689807|10.32.202.30|678688_10.34.215.38|1|Ethernet0|Ethernet0@sjc22-00a-srtg-ts2|Unknown|10000000|6|00:b0:64:fd:28:bd|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
3|689808|10.32.202.30|678688_10.34.215.38|2|Serial0|Serial0@sjc22-00a-srtg-ts2|Unknown|1544000|22|(null)|SerialInterface|2|2|1|1899-12-31|2199-12-31
4|689809|10.32.202.30|678688_10.34.215.38|3|Null0|Null0@sjc22-00a-srtg-ts2|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
5|689811|10.32.202.30|678689_10.34.215.3|1|Backplane-GigabitEthernet0/3|Backplane-GigabitEthernet0/3@sjc22-22a-heb1.cisco.com|Unknown|1000000000|6|50:3d:e5:6a:4e:03|EthernetProtocolEndpoint|1|1|1|1899-12-31|2199-12-31
6|689874|10.32.202.30|678678_10.34.215.248|13|VoIP-Null0|VoIP-Null0@sjc22-22a-sword1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
7|689875|10.32.202.30|678678_10.34.215.248|14|Null0|Null0@sjc22-22a-sword1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
8|689879|10.32.202.30|678678_10.34.215.248|1|GigabitEthernet0/0/0|GigabitEthernet0/0/0@sjc22-22a-sword1.cisco.com|Unknown|1000000000|6|b8:38:61:6f:f3:70|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
9|689880|10.32.202.30|678678_10.34.215.248|2|GigabitEthernet0/0/1|GigabitEthernet0/0/1@sjc22-22a-sword1.cisco.com|Point to point connection to Core2|1000000000|6|b8:38:61:6f:f3:71|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
10|689881|10.32.202.30|678678_10.34.215.248|3|GigabitEthernet0/0/2|GigabitEthernet0/0/2@sjc22-22a-sword1.cisco.com|Point to point connection to Core1|1000000000|6|b8:38:61:6f:f3:72|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
11|689888|10.32.202.30|678678_10.34.215.248|12|GigabitEthernet0|GigabitEthernet0@sjc22-22a-sword1.cisco.com|Unknown|1000000000|6|b8:38:61:6f:f3:ff|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
12|689897|10.32.202.30|678678_10.34.215.248|76|GigabitEthernet0/0/0.101|GigabitEthernet0/0/0.101@sjc22-22a-sword1.cisco.com|alpha & alpha-byod SSID VLAN|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
